Age [ka BP],d18O recon [per mil] (d18O values corrected for sea...)
12.059,-45.9
12.071,-46.63
12.0835,-45.88
12.096,-45.06
12.1085,-46.28
12.1215,-46.42
12.1345,-47.01
12.1475,-47.05
12.1605,-46.15
12.1735,-45.32
12.186,-45.71
12.198,-46.68
12.21,-46.65
12.222,-46.73
12.2335,-46.82
12.245,-45.36
12.257,-46.37
12.2685,-46.25
12.28,-46.41
12.2925,-46.12
12.305,-46.16
12.3175,-47.36
12.3305,-46.69
12.343,-46.67
12.3555,-47.41
12.368,-46.99
12.38,-47.25
12.392,-46.58
12.404,-46.47
12.416,-46.73
12.428,-47.35
12.44,-47.37
12.4515,-47.2
12.463,-47.5
12.4745,-46.9
12.486,-46.44
12.4985,-47.63
12.511,-47.26
12.524,-47.26
12.5375,-47.47
12.5505,-47.42
